Date,Open,High,Low,Close,ZigZag
02.01.2000,1.0073,1.0141,1.0073,1.0137,0
03.01.2000,1.014,1.0278,1.0054,1.0262,0
04.01.2000,1.026,1.034,1.0213,1.0292,0
05.01.2000,1.0291,1.0402,1.0284,1.0323,0
06.01.2000,1.0325,1.0415,1.0272,1.0305,1.04
07.01.2000,1.0303,1.0324,1.026,1.0298,0
09.01.2000,1.0286,1.0305,1.0282,1.0283,0
10.01.2000,1.0282,1.0301,1.0211,1.026,0
11.01.2000,1.0257,1.0341,1.0253,1.0322,0
12.01.2000,1.0326,1.037,1.0261,1.0315,0
13.01.2000,1.0314,1.0316,1.0235,1.024,0
14.01.2000,1.0242,1.0275,1.0114,1.0122,0
16.01.2000,1.0129,1.014,1.012,1.0129,0
17.01.2000,1.0128,1.0148,1.0069,1.0112,0
18.01.2000,1.0111,1.0155,1.0072,1.014,0
19.01.2000,1.0141,1.0165,1.0085,1.0117,0
20.01.2000,1.0116,1.0188,1.0073,1.0169,0
21.01.2000,1.0166,1.0193,1.005,1.0087,0
23.01.2000,1.0028,1.0045,1.0026,1.0043,0
24.01.2000,1.0043,1.0077,0.9997,1.0057,0
25.01.2000,1.0063,1.0096,0.9992,1.0014,0
26.01.2000,1.0012,1.0055,0.9989,0.9999,0
27.01.2000,0.9997,1.003,0.9868,0.987,0
28.01.2000,0.9873,0.9892,0.9736,0.9749,0
30.01.2000,0.9773,0.9804,0.9772,0.9796,0
31.01.2000,0.9796,0.9829,0.9667,0.9705,0.97
01.02.2000,0.9707,0.9782,0.9667,0.9717,0
02.02.2000,0.9718,0.9808,0.9694,0.9766,0
03.02.2000,0.9767,0.9947,0.971,0.9891,0
04.02.2000,0.989,0.994,0.9747,0.984,0
06.02.2000,0.9832,0.9832,0.9817,0.9818,0
07.02.2000,0.9817,0.9827,0.9754,0.9809,0
08.02.2000,0.9807,0.9914,0.9786,0.9875,0
09.02.2000,0.9873,0.9971,0.9866,0.9931,0
10.02.2000,0.9932,0.9962,0.9831,0.9863,0
11.02.2000,0.9861,0.9886,0.9786,0.9884,0
13.02.2000,0.9877,0.9877,0.9862,0.9862,0
14.02.2000,0.9864,0.9916,0.9776,0.9786,0
15.02.2000,0.9784,0.9862,0.9763,0.9812,0
16.02.2000,0.9813,0.9878,0.979,0.986,0
17.02.2000,0.9861,0.9958,0.9837,0.9873,0
18.02.2000,0.9876,0.9902,0.9809,0.9845,0
20.02.2000,0.9854,0.9857,0.9847,0.9851,0
21.02.2000,0.985,0.9931,0.9843,0.9922,0
22.02.2000,0.992,1.0081,0.9914,1.0054,0
23.02.2000,1.0055,1.0089,1.0011,1.0025,1.01
24.02.2000,1.0026,1.0042,0.9888,0.9916,0
25.02.2000,0.9914,0.993,0.9722,0.9746,0
27.02.2000,0.9728,0.9732,0.9722,0.9729,0
28.02.2000,0.9728,0.9733,0.9401,0.9672,0.94
29.02.2000,0.967,0.9872,0.9622,0.9665,0
01.03.2000,0.9663,0.9767,0.9647,0.9719,0
02.03.2000,0.9717,0.9793,0.9615,0.9653,0
03.03.2000,0.9652,0.9678,0.9577,0.9607,0
05.03.2000,0.9567,0.9586,0.9559,0.9569,0
06.03.2000,0.957,0.9672,0.9565,0.9584,0
07.03.2000,0.9585,0.9624,0.9525,0.9586,0
08.03.2000,0.9584,0.9647,0.9521,0.9642,0
09.03.2000,0.9643,0.9698,0.9595,0.9663,0
10.03.2000,0.9664,0.969,0.9599,0.9639,0
12.03.2000,0.9627,0.9638,0.9616,0.9632,0
13.03.2000,0.9633,0.973,0.9617,0.9642,0
14.03.2000,0.9641,0.9692,0.959,0.967,0
15.03.2000,0.967,0.9714,0.964,0.9662,0
16.03.2000,0.9663,0.974,0.9649,0.9697,0
17.03.2000,0.9696,0.9732,0.9657,0.9729,0
19.03.2000,0.9725,0.9727,0.9705,0.9716,0
20.03.2000,0.9717,0.9746,0.9684,0.9726,0
21.03.2000,0.9725,0.974,0.9573,0.959,0
22.03.2000,0.9589,0.9632,0.9578,0.9609,0
23.03.2000,0.961,0.973,0.9601,0.972,0
24.03.2000,0.9719,0.9785,0.9672,0.9785,0
26.03.2000,0.9774,0.9775,0.9758,0.9763,0
27.03.2000,0.9762,0.979,0.9632,0.966,0.98
28.03.2000,0.9659,0.9702,0.9539,0.9564,0
29.03.2000,0.9565,0.9603,0.9478,0.9535,0
30.03.2000,0.9536,0.9632,0.951,0.9615,0
31.03.2000,0.9615,0.9625,0.9528,0.9552,0
02.04.2000,0.9562,0.9575,0.9554,0.9566,0
03.04.2000,0.9567,0.9606,0.9502,0.9552,0
04.04.2000,0.9554,0.9749,0.9515,0.9621,0
05.04.2000,0.962,0.9712,0.9594,0.9611,0
06.04.2000,0.9614,0.9642,0.9565,0.9574,0
07.04.2000,0.9575,0.9609,0.9537,0.9545,0
09.04.2000,0.9548,0.9549,0.9534,0.9538,0
10.04.2000,0.9537,0.963,0.9535,0.9627,0
11.04.2000,0.9625,0.9649,0.9562,0.9591,0
12.04.2000,0.9592,0.9607,0.9521,0.9592,0
13.04.2000,0.9593,0.9602,0.9513,0.9529,0
14.04.2000,0.9529,0.9632,0.951,0.9628,0
16.04.2000,0.9648,0.9664,0.9646,0.9652,0
17.04.2000,0.9647,0.9679,0.9453,0.948,0
18.04.2000,0.9481,0.9521,0.944,0.9456,0
19.04.2000,0.9455,0.9491,0.9355,0.9402,0
20.04.2000,0.9403,0.9425,0.9353,0.9385,0
21.04.2000,0.9386,0.94,0.9362,0.9383,0
23.04.2000,0.9382,0.9385,0.9367,0.9372,0
24.04.2000,0.9372,0.9451,0.9369,0.9388,0
25.04.2000,0.9388,0.9397,0.9163,0.9214,0
26.04.2000,0.9211,0.9249,0.9175,0.9236,0
27.04.2000,0.9239,0.9249,0.9059,0.9119,0
28.04.2000,0.9117,0.9137,0.903,0.9117,0
30.04.2000,0.912,0.9121,0.9111,0.9111,0
01.05.2000,0.9112,0.9174,0.9071,0.9163,0
02.05.2000,0.9164,0.9175,0.9037,0.9101,0
03.05.2000,0.9101,0.9105,0.8887,0.8945,0
04.05.2000,0.8946,0.8973,0.8847,0.8923,0.88
05.05.2000,0.8923,0.9011,0.8903,0.8969,0
07.05.2000,0.8965,0.8992,0.8962,0.8991,0
08.05.2000,0.8994,0.9045,0.8914,0.8987,0
09.05.2000,0.8984,0.9093,0.8945,0.9071,0
10.05.2000,0.9073,0.9132,0.9032,0.904,0
11.05.2000,0.9041,0.911,0.8988,0.9013,0
12.05.2000,0.9012,0.9201,0.8979,0.9185,0.92
14.05.2000,0.9179,0.9187,0.9178,0.9178,0
15.05.2000,0.9177,0.919,0.9063,0.9078,0
16.05.2000,0.9079,0.9108,0.8984,0.8995,0
17.05.2000,0.8995,0.903,0.8891,0.8947,0
18.05.2000,0.8948,0.8971,0.8905,0.8953,0
19.05.2000,0.8952,0.8998,0.8844,0.897,0.88
21.05.2000,0.8974,0.8991,0.897,0.8987,0
22.05.2000,0.8988,0.9073,0.8952,0.9029,0
23.05.2000,0.9029,0.9156,0.9018,0.907,0
24.05.2000,0.907,0.913,0.9025,0.9034,0
25.05.2000,0.9034,0.9137,0.8978,0.9125,0
26.05.2000,0.9125,0.9336,0.9112,0.9315,0
28.05.2000,0.9328,0.9335,0.9299,0.9325,0
29.05.2000,0.9325,0.933,0.9238,0.9281,0
30.05.2000,0.9278,0.9412,0.9242,0.9294,0
31.05.2000,0.9293,0.9382,0.9266,0.937,0
01.06.2000,0.9367,0.9379,0.9284,0.9313,0
02.06.2000,0.9316,0.9498,0.9297,0.9458,0
04.06.2000,0.9457,0.9462,0.945,0.945,0
05.06.2000,0.945,0.9493,0.9411,0.9458,0
06.06.2000,0.946,0.9599,0.9449,0.9548,0
07.06.2000,0.9549,0.9627,0.953,0.9592,0
08.06.2000,0.96,0.97,0.9508,0.9545,0.97
09.06.2000,0.9545,0.957,0.9457,0.9533,0
11.06.2000,0.9537,0.9537,0.952,0.9526,0
12.06.2000,0.9523,0.9564,0.949,0.9534,0
13.06.2000,0.9535,0.9627,0.952,0.9591,0
14.06.2000,0.9592,0.9654,0.9568,0.9573,0
15.06.2000,0.9572,0.9604,0.95,0.9535,0
16.06.2000,0.9533,0.966,0.9496,0.9643,0
18.06.2000,0.9637,0.9649,0.9635,0.9648,0
19.06.2000,0.9648,0.9693,0.9562,0.9577,0
20.06.2000,0.9578,0.9616,0.9529,0.9533,0
21.06.2000,0.9531,0.9537,0.943,0.9446,0
22.06.2000,0.9446,0.9475,0.9348,0.9375,0
23.06.2000,0.9373,0.9431,0.9338,0.9362,0
25.06.2000,0.9362,0.9367,0.9353,0.9361,0
26.06.2000,0.9362,0.9397,0.9296,0.9374,0
27.06.2000,0.9375,0.9471,0.937,0.9456,0
28.06.2000,0.9457,0.9468,0.9398,0.9429,0
29.06.2000,0.9428,0.9537,0.9413,0.9522,0
30.06.2000,0.9521,0.9603,0.9504,0.9523,0
02.07.2000,0.9524,0.953,0.9521,0.9527,0
03.07.2000,0.9525,0.9547,0.9481,0.9502,0
04.07.2000,0.9501,0.9525,0.9463,0.9511,0
05.07.2000,0.951,0.9573,0.951,0.953,0
06.07.2000,0.9531,0.9599,0.9492,0.9502,0
07.07.2000,0.9502,0.9528,0.9458,0.9479,0
09.07.2000,0.9485,0.9492,0.9484,0.9485,0
10.07.2000,0.9485,0.9556,0.9477,0.9542,0
11.07.2000,0.9542,0.9566,0.949,0.9521,0
12.07.2000,0.952,0.9525,0.9391,0.9412,0
13.07.2000,0.941,0.9424,0.9327,0.9357,0
14.07.2000,0.9355,0.9398,0.9317,0.9383,0
16.07.2000,0.9384,0.9388,0.9376,0.9381,0
17.07.2000,0.9382,0.9401,0.9338,0.9359,0
18.07.2000,0.936,0.9367,0.9228,0.9242,0
19.07.2000,0.9241,0.9267,0.9192,0.9258,0.92
20.07.2000,0.9259,0.9345,0.9201,0.9325,0
21.07.2000,0.9325,0.9382,0.9312,0.9362,0
23.07.2000,0.9364,0.9367,0.9357,0.936,0
24.07.2000,0.936,0.9378,0.9309,0.9323,0
25.07.2000,0.9324,0.9431,0.9317,0.9385,0
26.07.2000,0.9387,0.945,0.9382,0.9432,0.95
27.07.2000,0.9431,0.9444,0.9312,0.9328,0
28.07.2000,0.9327,0.9336,0.9221,0.9225,0
30.07.2000,0.9238,0.9241,0.9233,0.9238,0
31.07.2000,0.9238,0.9294,0.9219,0.9276,0
01.08.2000,0.9273,0.9293,0.913,0.9153,0
02.08.2000,0.9156,0.9192,0.9113,0.9149,0
03.08.2000,0.9148,0.9176,0.8998,0.9068,0
04.08.2000,0.9069,0.9101,0.9011,0.9081,0
06.08.2000,0.9073,0.9088,0.9071,0.9087,0
07.08.2000,0.9082,0.9112,0.9052,0.9079,0
08.08.2000,0.9079,0.909,0.8984,0.9024,0
09.08.2000,0.9023,0.9023,0.8963,0.9012,0.9
10.08.2000,0.9013,0.9098,0.9005,0.9079,0
11.08.2000,0.908,0.914,0.9024,0.9036,0
