Date,Open,High,Low,Close
2016-02-01,1.08249,1.09096,1.08224,1.08955
2016-02-02,1.08951,1.09377,1.08923,1.09183
2016-02-03,1.09181,1.11454,1.0903,1.10927
2016-02-04,1.10927,1.12388,1.10691,1.1199
2016-02-05,1.1199,1.12423,1.11098,1.11635
2016-02-07,1.11453,1.11455,1.1141,1.11427
2016-02-08,1.1143,1.12158,1.10858,1.11888
2016-02-09,1.11888,1.13378,1.11616,1.12876
2016-02-10,1.12872,1.13112,1.116,1.12837
2016-02-11,1.12837,1.13761,1.12734,1.13158
2016-02-12,1.13159,1.13333,1.12135,1.12563
2016-02-14,1.12314,1.12328,1.12149,1.1223
2016-02-15,1.1223,1.12389,1.11273,1.1176
2016-02-16,1.11757,1.11926,1.11238,1.11424
2016-02-17,1.11426,1.11789,1.11055,1.11196
2016-02-18,1.11197,1.11495,1.10706,1.11074
2016-02-19,1.11075,1.11391,1.10664,1.11311
2016-02-21,1.1121,1.11243,1.11138,1.11217
2016-02-22,1.11219,1.11236,1.10029,1.10246
2016-02-23,1.1025,1.10526,1.09895,1.10228
2016-02-24,1.10226,1.10461,1.09569,1.10138
2016-02-25,1.10139,1.10497,1.09901,1.10219
2016-02-26,1.10221,1.1068,1.09142,1.09381
2016-02-28,1.09167,1.0927,1.09142,1.09229
2016-02-29,1.09236,1.09624,1.08586,1.08853
2016-03-01,1.08851,1.08933,1.08345,1.08758
2016-03-02,1.08754,1.08808,1.08244,1.08672
2016-03-03,1.08684,1.09726,1.08527,1.09452
2016-03-04,1.09454,1.10431,1.09026,1.10107
2016-03-06,1.09952,1.09971,1.09865,1.0991
2016-03-07,1.09912,1.10256,1.09389,1.10118
2016-03-08,1.10121,1.10574,1.09929,1.09986
2016-03-09,1.09997,1.10348,1.09452,1.09847
2016-03-10,1.09856,1.12176,1.08218,1.1176
2016-03-11,1.11764,1.12094,1.10796,1.11526
2016-03-13,1.11627,1.11758,1.1158,1.1164
2016-03-14,1.11635,1.11664,1.10769,1.10999
2016-03-15,1.10998,1.11249,1.10711,1.11068
2016-03-16,1.11069,1.12422,1.10568,1.12158
2016-03-17,1.12157,1.13423,1.12047,1.13146
2016-03-18,1.1315,1.13365,1.12556,1.1269
2016-03-20,1.12698,1.1278,1.12664,1.12733
2016-03-21,1.12741,1.12846,1.12322,1.12344
2016-03-22,1.12349,1.12598,1.11873,1.12206
2016-03-23,1.12209,1.1221,1.11586,1.11772
2016-03-24,1.11777,1.11876,1.11439,1.11639
2016-03-25,1.11644,1.11757,1.11514,1.11622
2016-03-27,1.11574,1.11608,1.11541,1.11557
2016-03-28,1.11567,1.12197,1.1152,1.11998
2016-03-29,1.12001,1.13031,1.11678,1.12887
2016-03-30,1.12887,1.13652,1.12851,1.13319
2016-03-31,1.13325,1.14116,1.13084,1.13783
2016-04-01,1.13783,1.14377,1.13389,1.13946
2016-04-03,1.13934,1.1397,1.13872,1.13943
2016-04-04,1.13944,1.14126,1.1357,1.13861
2016-04-05,1.13862,1.14049,1.13349,1.13794
2016-04-06,1.13799,1.14316,1.13262,1.13999
2016-04-07,1.13998,1.14539,1.1337,1.13671
2016-04-08,1.13668,1.14192,1.13481,1.13921
2016-04-10,1.14022,1.14075,1.13992,1.14037
2016-04-11,1.14045,1.14471,1.1371,1.141
2016-04-12,1.14099,1.14645,1.13457,1.13825
2016-04-13,1.13826,1.1391,1.12674,1.12766
2016-04-14,1.12776,1.12946,1.12331,1.12636
2016-04-15,1.12648,1.13168,1.12454,1.12796
2016-04-17,1.12906,1.13,1.12869,1.12968
2016-04-18,1.12972,1.13322,1.12721,1.1307
2016-04-19,1.13069,1.13845,1.13019,1.13574
2016-04-20,1.13581,1.13878,1.12898,1.13021
2016-04-21,1.13022,1.13976,1.12698,1.129
2016-04-22,1.129,1.13084,1.12123,1.12123
2016-04-24,1.12309,1.12335,1.12284,1.12302
2016-04-25,1.12311,1.1278,1.12225,1.1266
2016-04-26,1.12662,1.13394,1.1255,1.12956
2016-04-27,1.12956,1.13607,1.12712,1.13259
2016-04-28,1.13263,1.13677,1.12947,1.13568
2016-04-29,1.13572,1.14592,1.13551,1.14455
2016-05-01,1.14579,1.14643,1.14541,1.14608
2016-05-02,1.14607,1.15358,1.14476,1.15232
2016-05-03,1.15233,1.16162,1.14924,1.15006
2016-05-04,1.15008,1.15291,1.1466,1.14895
2016-05-05,1.14908,1.14937,1.1385,1.13998
2016-05-06,1.14001,1.14787,1.13854,1.13963
2016-05-08,1.13976,1.13985,1.13827,1.13852
2016-05-09,1.13862,1.142,1.13747,1.13831
2016-05-10,1.13831,1.14097,1.13582,1.13727
2016-05-11,1.13731,1.14465,1.13714,1.14226
2016-05-12,1.14239,1.14292,1.13689,1.13741
2016-05-13,1.13741,1.13784,1.12813,1.1302
2016-05-15,1.13157,1.13193,1.13135,1.13167
2016-05-16,1.13164,1.13422,1.13014,1.13151
2016-05-17,1.1315,1.1348,1.13015,1.13136
2016-05-18,1.13138,1.13159,1.12129,1.12195
2016-05-19,1.12195,1.12298,1.11794,1.12017
2016-05-20,1.12018,1.1237,1.11948,1.12163
2016-05-22,1.12175,1.12226,1.12158,1.12198
2016-05-23,1.122,1.12427,1.11866,1.12127
2016-05-24,1.1213,1.1227,1.11321,1.11344
2016-05-25,1.11347,1.11667,1.11285,1.11549
2016-05-26,1.11548,1.12166,1.11535,1.11914
2016-05-27,1.11913,1.12006,1.11087,1.11087
2016-05-29,1.11098,1.11109,1.11061,1.11077
2016-05-30,1.11079,1.11494,1.1097,1.11475
2016-05-31,1.11475,1.11733,1.11218,1.11339
2016-06-01,1.11338,1.11938,1.11138,1.11874
2016-06-02,1.11875,1.12197,1.1145,1.11514
2016-06-03,1.11514,1.13734,1.11365,1.13627
2016-06-05,1.13484,1.13527,1.13443,1.1351
2016-06-06,1.13509,1.13927,1.13264,1.13627
2016-06-07,1.13628,1.13804,1.13384,1.13556
2016-06-08,1.13556,1.14105,1.1354,1.14025
2016-06-09,1.14025,1.14154,1.1305,1.13094
2016-06-10,1.13094,1.13213,1.12449,1.12484
2016-06-12,1.1246,1.12497,1.12332,1.12379
2016-06-13,1.1238,1.13027,1.12313,1.12875
2016-06-14,1.12875,1.12983,1.11885,1.12102
2016-06-15,1.12103,1.1297,1.11888,1.1261
2016-06-16,1.12611,1.12947,1.11307,1.12666
2016-06-17,1.12669,1.12962,1.12224,1.12732
2016-06-19,1.13328,1.13576,1.13284,1.13466
2016-06-20,1.13465,1.13822,1.13014,1.13215
2016-06-21,1.13214,1.13494,1.12398,1.12493
2016-06-22,1.12494,1.13375,1.12363,1.13255
2016-06-23,1.13255,1.14258,1.12689,1.1332
2016-06-24,1.13322,1.13368,1.09114,1.11148
2016-06-26,1.10502,1.10533,1.10146,1.10393
2016-06-27,1.10392,1.10833,1.09702,1.10135
2016-06-28,1.10135,1.11114,1.10122,1.10751
2016-06-29,1.10752,1.11302,1.10489,1.11219
2016-06-30,1.11219,1.11543,1.1024,1.11029
2016-07-01,1.11029,1.11697,1.10714,1.11348
2016-07-03,1.11315,1.11371,1.11259,1.11269
2016-07-04,1.11271,1.11594,1.10971,1.11442
2016-07-05,1.11443,1.1186,1.10591,1.10634
2016-07-06,1.10634,1.11115,1.10288,1.10966
2016-07-07,1.10965,1.1107,1.10519,1.10636
2016-07-08,1.10635,1.11202,1.10016,1.10517
2016-07-10,1.1048,1.10519,1.10415,1.10436
2016-07-11,1.10433,1.10744,1.10156,1.10565
2016-07-12,1.10564,1.11257,1.10518,1.10601
2016-07-13,1.10601,1.11198,1.10418,1.10946
2016-07-14,1.10947,1.11647,1.1089,1.11061
2016-07-15,1.1106,1.1149,1.10243,1.10262
2016-07-17,1.10579,1.10597,1.10505,1.10557
2016-07-18,1.10557,1.10839,1.10372,1.10676
2016-07-19,1.10677,1.10803,1.09996,1.10134
2016-07-20,1.10135,1.103,1.0981,1.10163
2016-07-21,1.10162,1.10594,1.09794,1.10319
2016-07-22,1.10318,1.10408,1.0955,1.09755
2016-07-24,1.09663,1.09701,1.09654,1.09685
2016-07-25,1.09684,1.09988,1.09516,1.09891
2016-07-26,1.09891,1.10297,1.09779,1.09871
2016-07-27,1.0987,1.10736,1.09613,1.10667
2016-07-28,1.10667,1.11193,1.10588,1.10822
2016-07-29,1.10823,1.11972,1.10724,1.1172
2016-07-31,1.11702,1.11711,1.11653,1.11667
2016-08-01,1.11667,1.11812,1.11547,1.11671
2016-08-02,1.1167,1.12336,1.11618,1.12177
2016-08-03,1.12176,1.12191,1.11402,1.11501
2016-08-04,1.11501,1.11561,1.11134,1.11345
2016-08-05,1.11344,1.11611,1.10456,1.10811
2016-08-07,1.10901,1.10918,1.10857,1.10867
2016-08-08,1.10866,1.11049,1.10713,1.10849
2016-08-09,1.10849,1.11225,1.10698,1.11175
2016-08-10,1.11174,1.119,1.11167,1.1185
2016-08-11,1.11851,1.11901,1.11327,1.11381
2016-08-12,1.11381,1.12212,1.11305,1.1162
2016-08-14,1.11598,1.11653,1.11587,1.11641
2016-08-15,1.11642,1.12035,1.1153,1.11817
2016-08-16,1.11817,1.13224,1.11768,1.12759
2016-08-17,1.12759,1.13156,1.12402,1.12987
2016-08-18,1.12986,1.13662,1.12946,1.13471
2016-08-19,1.13471,1.13488,1.13034,1.13224
2016-08-21,1.13147,1.13165,1.12937,1.12976
2016-08-22,1.12976,1.13305,1.12702,1.13167
2016-08-23,1.13167,1.13548,1.12983,1.13016
2016-08-24,1.13016,1.13113,1.12444,1.12608
2016-08-25,1.12608,1.12973,1.12586,1.12866
2016-08-26,1.12866,1.13405,1.11804,1.11962
2016-08-28,1.11971,1.12007,1.11934,1.11969
2016-08-29,1.11967,1.12076,1.11577,1.11902
2016-08-30,1.11902,1.11906,1.11315,1.11499
2016-08-31,1.11498,1.11654,1.11228,1.1156
2016-09-01,1.11559,1.12051,1.11269,1.11984
2016-09-02,1.11983,1.12516,1.115,1.11524
2016-09-04,1.11583,1.1159,1.11561,1.1158
2016-09-05,1.11579,1.11823,1.11396,1.11502
2016-09-06,1.11503,1.12629,1.11404,1.12456
2016-09-07,1.12457,1.12709,1.12285,1.1238
2016-09-08,1.1238,1.13269,1.12341,1.12682
2016-09-09,1.12681,1.12849,1.11981,1.12276
2016-09-11,1.12346,1.12405,1.12337,1.12402
2016-09-12,1.12401,1.12674,1.121,1.12403
2016-09-13,1.12402,1.12603,1.12033,1.1219
2016-09-14,1.12191,1.12739,1.12132,1.12449
2016-09-15,1.12448,1.12836,1.12186,1.12464
2016-09-16,1.12463,1.12479,1.11489,1.11567
2016-09-18,1.11573,1.11606,1.11552,1.11577
2016-09-19,1.11577,1.11978,1.11506,1.11765
2016-09-20,1.11766,1.12132,1.11487,1.11532
2016-09-21,1.11531,1.11963,1.11225,1.11888
2016-09-22,1.11889,1.12572,1.11844,1.12078
2016-09-23,1.12079,1.12404,1.11931,1.12234
2016-09-25,1.12365,1.12384,1.12362,1.12374
2016-09-26,1.12373,1.1279,1.12206,1.125
2016-09-27,1.125,1.12588,1.11903,1.12168
2016-09-28,1.12169,1.12369,1.11815,1.1223
2016-09-29,1.12232,1.12497,1.11965,1.12184
2016-09-30,1.12185,1.12504,1.11527,1.12402
2016-10-02,1.12339,1.12365,1.12278,1.12328
2016-10-03,1.12328,1.12415,1.12045,1.1209
2016-10-04,1.1209,1.12386,1.11374,1.1209
2016-10-05,1.1209,1.12332,1.11891,1.12058
2016-10-06,1.12058,1.12102,1.11372,1.11415
